epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,549.637,0.74184,0.54704,1.0256,0.94469,0.90229,0.94533,0.74545,0.80135,0.54552,1.05363,0.00675546,0.00675546,0.00675546
43,562.598,0.74373,0.55485,1.04307,0.95025,0.88573,0.93456,0.74248,0.7576,0.53684,1.05724,0.0066191,0.0066191,0.0066191
44,576.045,0.7583,0.56405,1.04188,0.94292,0.87779,0.94099,0.72152,0.79318,0.5542,1.05686,0.00648164,0.00648164,0.00648164
45,589.226,0.74096,0.54844,1.03263,0.91402,0.90128,0.9359,0.7368,0.77829,0.54179,1.06036,0.00634322,0.00634322,0.00634322
46,602.254,0.72214,0.53095,1.02421,0.93293,0.88283,0.92898,0.7382,0.75372,0.52489,1.04219,0.00620396,0.00620396,0.00620396
47,614.965,0.70878,0.53093,1.01208,0.93899,0.88832,0.92834,0.73828,0.7517,0.5507,1.05382,0.006064,0.006064,0.006064
48,627.952,0.71366,0.52214,1.0164,0.93817,0.91082,0.94819,0.75052,0.75674,0.51398,1.05063,0.00592349,0.00592349,0.00592349
49,640.431,0.71001,0.52393,1.01861,0.91306,0.9006,0.93594,0.71942,0.79732,0.56864,1.0746,0.00578256,0.00578256,0.00578256
50,653.363,0.70532,0.5182,1.01776,0.95047,0.90869,0.95339,0.75386,0.74793,0.51188,1.03601,0.00564135,0.00564135,0.00564135
51,666.274,0.68722,0.50665,1.00977,0.89132,0.88384,0.90736,0.7011,0.80103,0.58129,1.08642,0.0055,0.0055,0.0055
52,678.694,0.68342,0.50043,1.0022,0.91486,0.87556,0.92195,0.72318,0.80139,0.56767,1.07087,0.00535865,0.00535865,0.00535865
53,691.395,0.67144,0.49293,0.99609,0.94776,0.90103,0.93874,0.75503,0.72778,0.51014,1.02453,0.00521744,0.00521744,0.00521744
54,704.526,0.67315,0.49495,0.99227,0.95219,0.8965,0.94651,0.74447,0.74946,0.51693,1.04706,0.00507651,0.00507651,0.00507651
55,717.448,0.65935,0.48242,0.99229,0.96579,0.88446,0.94512,0.7584,0.73126,0.50407,1.03182,0.004936,0.004936,0.004936
56,729.324,0.65148,0.47658,0.98829,0.94342,0.91967,0.95016,0.76185,0.72133,0.48764,1.0309,0.00479604,0.00479604,0.00479604
57,742.627,0.64368,0.47384,0.98746,0.93592,0.92025,0.9453,0.76577,0.69676,0.48661,1.0235,0.00465678,0.00465678,0.00465678
58,756.098,0.64299,0.47016,0.98321,0.94599,0.90299,0.94482,0.74666,0.73575,0.5052,1.03043,0.00451836,0.00451836,0.00451836
59,769.898,0.64182,0.47056,0.98226,0.96137,0.90955,0.9496,0.76118,0.72282,0.48629,1.024,0.0043809,0.0043809,0.0043809
60,781.959,0.63587,0.45247,0.9734,0.94682,0.91321,0.95255,0.77096,0.70479,0.48353,1.01438,0.00424454,0.00424454,0.00424454
61,794.991,0.62182,0.44845,0.97406,0.94724,0.91813,0.9558,0.77038,0.73291,0.48666,1.03109,0.00410942,0.00410942,0.00410942
62,807.897,0.60296,0.44277,0.96097,0.9409,0.91833,0.95226,0.77939,0.67935,0.47034,1.00506,0.00397568,0.00397568,0.00397568
63,820.947,0.60061,0.44374,0.96535,0.95397,0.91924,0.95395,0.77891,0.68706,0.45556,1.01115,0.00384344,0.00384344,0.00384344
64,833.357,0.60175,0.4497,0.96509,0.95018,0.92957,0.95782,0.77784,0.69352,0.46547,1.01178,0.00371283,0.00371283,0.00371283
65,845.529,0.57894,0.4367,0.95496,0.94549,0.91701,0.94855,0.77777,0.70098,0.46551,1.02611,0.00358399,0.00358399,0.00358399
66,858.411,0.58885,0.42957,0.95538,0.97105,0.90185,0.95519,0.78021,0.676,0.4633,1.01153,0.00345704,0.00345704,0.00345704
67,871.595,0.56597,0.41585,0.94033,0.93799,0.93626,0.9562,0.78183,0.66976,0.44414,1.00007,0.00333211,0.00333211,0.00333211
68,885.103,0.59134,0.42755,0.96049,0.95569,0.93885,0.96216,0.78722,0.68775,0.4324,1.00837,0.00320931,0.00320931,0.00320931
69,897.297,0.56872,0.42084,0.94734,0.94696,0.92022,0.95486,0.78278,0.67229,0.44654,1.00159,0.00308878,0.00308878,0.00308878
70,910.331,0.5798,0.42941,0.957,0.96283,0.91641,0.9539,0.779,0.6736,0.4451,1.00272,0.00297062,0.00297062,0.00297062
71,923.209,0.54611,0.39232,0.93373,0.95085,0.92786,0.95703,0.79344,0.66302,0.44725,1.00267,0.00285497,0.00285497,0.00285497
72,936.023,0.55078,0.40816,0.94304,0.97285,0.91472,0.95845,0.79196,0.66737,0.44764,0.9977,0.00274192,0.00274192,0.00274192
73,948.964,0.55078,0.41538,0.93812,0.96566,0.92814,0.96225,0.78937,0.6744,0.44158,1.00547,0.00263159,0.00263159,0.00263159
